Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
02/09/2014,29609,22475,52084,7523,2753,10276,10730,15278,22475,37753,1917,4055
02/10/2014,29686,22478,52164,7577,2769,10346,10734,15297,22478,37775,1911,4043
02/11/2014,29706,22460,52166,7602,2790,10392,10722,15280,22460,37740,1906,4034
02/12/2014,29672,22465,52137,7576,2788,10364,10725,15291,22465,37756,1897,4017
02/13/2014,29775,22544,52319,7594,2780,10374,10770,15351,22544,37895,1913,4050
02/14/2014,29630,22523,52153,7503,2756,10259,10763,15333,22523,37856,1908,4038
02/15/2014,29582,22487,52069,7504,2759,10263,10738,15303,22487,37790,1896,4016
02/16/2014,29668,22497,52165,7567,2773,10340,10740,15304,22497,37801,1900,4024
02/17/2014,29751,22519,52270,7612,2785,10397,10754,15322,22519,37841,1904,4032
02/18/2014,29790,22535,52325,7607,2791,10398,10764,15347,22535,37882,1910,4045
02/19/2014,29752,22509,52261,7605,2783,10388,10743,15324,22509,37833,1907,4040
02/20/2014,29693,22478,52171,7606,2772,10378,10731,15310,22478,37788,1889,4005
02/22/2014,29576,22498,52074,7489,2735,10224,10744,15333,22498,37831,1895,4019
02/23/2014,29694,22555,52249,7552,2740,10292,10771,15369,22555,37924,1902,4033
02/24/2014,29757,22544,52301,7611,2764,10375,10754,15352,22544,37896,1901,4030
02/25/2014,29747,22514,52261,7633,2771,10404,10738,15327,22514,37841,1894,4016
02/26/2014,29749,22589,52338,7614,2768,10382,10758,15350,22589,37939,1895,4017
02/27/2014,29742,22612,52354,7592,2765,10357,10771,15358,22612,37970,1899,4027
02/28/2014,29579,22605,52184,7494,2721,10215,10766,15344,22605,37949,1894,4020
03/01/2014,29536,22631,52167,7448,2687,10135,10778,15357,22631,37988,1906,4044
03/02/2014,29639,22656,52295,7535,2704,10239,10796,15378,22656,38034,1895,4022
03/03/2014,29645,22626,52271,7553,2722,10275,10776,15351,22626,37977,1893,4019
03/04/2014,29593,22525,52118,7555,2723,10278,10739,15296,22525,37821,1893,4019
03/05/2014,29633,22495,52128,7568,2743,10311,10729,15296,22495,37791,1896,4026
03/07/2014,29561,22509,52070,7498,2711,10209,10743,15315,22509,37824,1900,4037
03/08/2014,29511,22520,52031,7457,2706,10163,10753,15340,22520,37860,1885,4008
03/09/2014,29640,22571,52211,7520,2713,10233,10787,15382,22571,37953,1893,4025
03/10/2014,29651,22506,52157,7557,2752,10309,10748,15336,22506,37842,1884,4006
03/11/2014,29542,22468,52010,7513,2726,10239,10741,15325,22468,37793,1874,3978
03/12/2014,29646,22501,52147,7585,2747,10332,10761,15342,22501,37843,1872,3972
03/13/2014,29642,22505,52147,7594,2724,10318,10767,15354,22505,37859,1872,3970
03/14/2014,29550,22521,52071,7491,2697,10188,10781,15376,22521,37897,1881,3986
03/15/2014,29507,22504,52011,7493,2688,10181,10773,15366,22504,37870,1868,3960
